career,Q1_realistic,Q2_investigative,Q3_artistic,Q4_social,Q5_enterprising,Q6_conventional,Q7_math,Q8_communication,Q9_technical,Q10_design,Q11_work_env,Q12_team_size,Q13_risk,Q14_pace,Q15_values,Q16_prefers,Q17_balance,Q18_education,Q19_subjects,Q20_coding,Q21_indoor,Q22_age,Q23_problem_text,Q24_dream_text,Q25_skill_text,annual_salary,total_employment,required_skills
Data Scientist,2.53,6.81,2.63,1.93,1.72,4.61,5,3,5,1,Remote,Small (2-5),Medium,Varies,High salary,Data,Somewhat,Masters,Science/Math,Advanced,Strongly indoor,18-22,I love building predictive models that learn from historical data to forecast future,I would run my own data consultancy helping companies make smarter decisions,I am known for my patience in cleaning and structuring messy datasets,108020,192000,Python | Statistics | Machine Learning | SQL | Data Visualization | Pandas | Communication | NumPy
Architect,4.47,4.52,2.58,2.39,3.13,5.32,3,3,3,5,Flexible,Medium (6-20),High,Moderate,Creative freedom,Ideas,Very,Bachelors,Mixed,Never,Both equally,23-27,I get excited when I can design a space that changes how people feel and move,I would create affordable housing that is beautiful dignified and genuinely livable,Friends always ask me to help redesign their homes and reimagine their living spaces,93310,128830,Reading Comprehension | Critical Thinking | Complex Problem Solving | Active Listening | Speaking | Writing | Judgment and Decision Making | Active Learning
HR Manager,1.82,3.23,1.72,3.55,6.6,6.19,2,5,1,2,Office,Large (20+),Medium,Moderate,Job stability,People,Somewhat,Pursuing,Commerce/Business,Never,Strongly indoor,18-22,I get excited by designing systems that make organizations genuinely fair and just,I would redesign hiring processes to completely eliminate bias and find true talent,Friends always ask me to help resolve conflicts because I am fair calm and very balanced,136350,185400,Management of Personnel Resources | Reading Comprehension | Active Listening | Speaking | Critical Thinking | Judgment and Decision Making | Active Learning | Writing
Cybersecurity Analyst,3.46,5.69,1.2,2.29,2.42,5.34,5,3,5,2,Office,Solo,High,Fast-paced,High salary,Data,Extremely,Pursuing,Mixed,Advanced,Strongly indoor,28-35,I get excited by the challenge of protecting systems from increasingly clever threats,I would run a cybersecurity firm that defends companies from nation state attacks,Friends say I am obsessively detail oriented and never miss anything suspicious,102600,168900,Reading Comprehension | Critical Thinking | Active Listening | Speaking | Writing | Monitoring | Complex Problem Solving | Active Learning
Cybersecurity Analyst,2.97,5.16,1.13,1.46,2.31,6.03,5,2,5,2,Office,Solo,High,Fast-paced,High salary,Data,Very,Bachelors,Mixed,Advanced,Strongly indoor,23-27,I love the cat and mouse game of security where the threats never stop evolving,I would train the next generation of ethical hackers and security researchers,Colleagues say I can find the one vulnerability in a system everyone else missed,102600,168900,Reading Comprehension | Critical Thinking | Active Listening | Speaking | Writing | Monitoring | Complex Problem Solving | Active Learning
Architect,4.94,5.69,3.25,2.46,3.91,5.45,3,2,4,5,Flexible,Medium (6-20),High,Moderate,Creative freedom,Ideas,Very,HighSchool,Mixed,Never,Both equally,18-22,I enjoy finding creative solutions when budget and structural limitations conflict,I would create buildings that use zero energy and still feel warm and beautiful,People say I can communicate spatial ideas through drawings that anyone can understand,93310,128830,Reading Comprehension | Critical Thinking | Complex Problem Solving | Active Listening | Speaking | Writing | Judgment and Decision Making | Active Learning
UX Designer,2.79,3.51,5.57,3.96,3.3,2.59,2,3,4,5,Flexible,Small (2-5),Medium,Varies,Creative freedom,Ideas,Somewhat,Pursuing,Arts/Humanities,Intermediate,Mostly indoor,18-22,I enjoy finding the gap between what users say they want and what they need,I would build design systems that make great UX the default not the exception,People say I can facilitate user research sessions that reveal deep insights,95640,91770,User Research | Figma | Prototyping | Wireframing | Usability Testing | Empathy | Design Thinking | Communication
Business Consultant,1.0,5.58,1.33,3.65,5.11,6.77,4,5,2,2,Office,Large (20+),High,Fast-paced,High salary,Ideas,Extremely,Bachelors,Commerce/Business,Never,Mostly indoor,28-35,I get excited by the variety of industries and complex problems I get to work on each month,I would specialize in digital transformation and help traditional companies genuinely evolve,Colleagues say my slide decks and presentations are always the clearest in every single room,99410,1000000,Active Listening | Reading Comprehension | Critical Thinking | Judgment and Decision Making | Complex Problem Solving | Speaking | Monitoring | Writing
Entrepreneur,2.81,1.95,1.54,2.5,7.0,4.63,2,3,2,4,Flexible,Large (20+),High,Fast-paced,Creative freedom,Ideas,Not,Pursuing,Commerce/Business,Never,Both equally,18-22,I enjoy the chaos of early stage companies where every day brings completely new challenges,I would build a company whose culture and products I would be proud of for my entire life,People say I have an unusual ability to see business potential where everyone else sees problems,129420,3240000,Active Listening | Monitoring | Speaking | Reading Comprehension | Critical Thinking | Management of Personnel Resources | Social Perceptiveness | Coordination
Marketing Manager,1.33,2.45,2.47,2.56,6.71,4.72,2,5,3,3,Office,Medium (6-20),Medium,Fast-paced,Fame/recognition,People,Very,PhD,Commerce/Business,Basic,Mostly indoor,18-22,I enjoy finding the one insight about customers that changes everything about strategy,I would build a community around a brand so strong it markets itself organically,People say I can write copy that makes people feel understood and compelled to act,171520,384980,Reading Comprehension | Persuasion | Critical Thinking | Speaking | Active Listening | Active Learning | Monitoring | Social Perceptiveness
Environmental Scientist,4.38,5.65,2.56,3.05,2.68,4.89,3,3,4,3,Lab,Large (20+),Medium,Slow and steady,Making impact,Physical things,Very,Pursuing,Science/Math,Basic,Both equally,18-22,I get passionate about finding real solutions to pollution and environmental degradation,I would restore degraded ecosystems and bring endangered species back from the absolute brink,Friends say I notice environmental details in every single place I visit completely automatically,76480,97000,Reading Comprehension | Writing | Speaking | Active Listening | Critical Thinking | Science | Monitoring | Complex Problem Solving
Data Scientist,2.21,6.51,2.12,1.44,1.23,5.57,5,3,5,1,Remote,Small (2-5),Medium,Varies,High salary,Data,Somewhat,Pursuing,Science/Math,Advanced,Strongly indoor,28-35,I enjoy cleaning messy data and turning chaos into structured meaningful insights,I would create data pipelines that power real time decision making at scale,People say I can explain complex analysis results to non technical audiences,108020,192000,Python | Statistics | Machine Learning | SQL | Data Visualization | Pandas | Communication | NumPy
Biotechnologist,5.48,6.44,3.37,1.49,1.67,4.31,4,3,4,2,Lab,Small (2-5),Medium,Slow and steady,Making impact,Physical things,Very,HighSchool,Science/Math,Intermediate,Mostly indoor,23-27,I get excited by the possibility of using biology to create entirely new materials and fuels,I would engineer crops that grow in harsh conditions and feed far more people globally,My professors praised my ability to design clean and perfectly reproducible experiments,102270,37400,Science | Reading Comprehension | Active Learning | Critical Thinking | Writing | Speaking | Mathematics | Active Listening
Cybersecurity Analyst,4.21,5.22,2.37,1.53,1.98,5.62,5,2,5,2,Office,Solo,High,Fast-paced,High salary,Data,Very,Bachelors,Mixed,Advanced,Strongly indoor,23-27,I enjoy reverse engineering malware and understanding how attacks work internally,I would develop open source security tools used by defenders worldwide,I am known for staying calm and methodical when systems are under active attack,102600,168900,Reading Comprehension | Critical Thinking | Active Listening | Speaking | Writing | Monitoring | Complex Problem Solving | Active Learning
Business Consultant,1.55,6.22,1.2,2.73,5.71,6.04,3,5,3,2,Office,Large (20+),High,Fast-paced,High salary,Ideas,Somewhat,Bachelors,Commerce/Business,Never,Mostly indoor,18-22,I love diagnosing what is fundamentally wrong with an organization and prescribing the right fix,I would advise Fortune 500 companies on their most critical and difficult strategic challenges,People say I have an exceptional ability to structure very messy problems into completely clear logic,99410,1000000,Active Listening | Reading Comprehension | Critical Thinking | Judgment and Decision Making | Complex Problem Solving | Speaking | Monitoring | Writing
AI/ML Engineer,4.08,5.68,2.15,2.0,3.39,4.12,5,2,5,2,Remote,Small (2-5),High,Fast-paced,High salary,Data,Very,Pursuing,Science/Math,Expert,Strongly indoor,18-22,I get excited by the challenge of deploying ML models into real production systems,I would develop responsible AI frameworks that benefit all of humanity equally,I am known for my ability to debug models and identify subtle training issues,136620,31000,Python | Deep Learning | PyTorch | TensorFlow | MLOps | Mathematics | Research | Cloud Platforms
Financial Analyst,2.32,4.59,2.01,3.31,4.74,5.31,4,3,1,2,Office,Large (20+),Low,Moderate,High salary,Data,Very,HighSchool,Commerce/Business,Basic,Strongly indoor,23-27,I enjoy assessing risk and making data driven investment decisions confidently,I would build financial literacy programs for people who never had access to them,Friends say I can explain complex financial concepts in a simple and clear way,83660,371920,Financial Modeling | Excel | Valuation | Accounting | Statistics | Bloomberg | Communication | Risk Analysis
Research Scientist,4.6,7.0,3.39,2.16,1.81,3.99,5,3,3,1,Lab,Solo,Low,Slow and steady,Making impact,Data,Very,PhD,Science/Math,Intermediate,Mostly indoor,18-22,I enjoy the challenge of designing experiments that eliminate all possible confounding factors,I would create a research institute where scientists work on only the hardest problems,People say I can design an elegant experiment that gets to the truth very efficiently,99490,136400,Judgment and Decision Making | Systems Evaluation | Active Learning | Complex Problem Solving | Reading Comprehension | Critical Thinking | Systems Analysis | Programming
Supply Chain Manager,2.6,3.78,1.32,2.35,5.36,6.14,3,3,4,2,Flexible,Large (20+),High,Fast-paced,Job stability,Mix of all,Very,Masters,Commerce/Business,Basic,Mostly indoor,Under 18,I love the data driven side of logistics where every single decision has a very measurable impact,I would revolutionize last mile delivery to make it fast cheap and genuinely sustainable,Friends say I am the most thoroughly organized person they have ever known in every area of life,99600,182800,Monitoring | Coordination | Critical Thinking | Active Listening | Reading Comprehension | Speaking | Complex Problem Solving | Judgment and Decision Making
Supply Chain Manager,2.47,3.83,1.3,1.88,5.25,4.61,4,4,4,3,Flexible,Large (20+),High,Fast-paced,Job stability,Mix of all,Very,Pursuing,Commerce/Business,Basic,Mostly indoor,28-35,I love optimizing complex networks and finding costly inefficiencies that others miss completely,I would design supply chains that are completely transparent and entirely ethically sourced,People say I have an exceptional ability to coordinate many complex moving parts simultaneously,99600,182800,Monitoring | Coordination | Critical Thinking | Active Listening | Reading Comprehension | Speaking | Complex Problem Solving | Judgment and Decision Making
Lawyer,2.11,3.93,1.8,3.46,5.42,4.15,2,4,2,3,Office,Large (20+),Low,Moderate,High salary,People,Very,Bachelors,Arts/Humanities,Never,Mostly indoor,18-22,I enjoy finding the one legal precedent that changes the outcome of an entire case,I would build a legal aid organization that gives everyone access to quality defense,Colleagues say I can find the strongest argument for any position extremely quickly,145760,813900,Active Listening | Speaking | Critical Thinking | Reading Comprehension | Writing | Persuasion | Judgment and Decision Making | Negotiation
